G_x,G_y,G^v_x,G^v_y,G^d_x,G^d_y
397.6041485529748,250.23802426199643,0.0,0.0,-0.02093414509818001,-0.028034454698417612
397.12607901726426,250.93505146082336,-0.09137774754852884,0.1332291029885514,-0.023980070016464305,-0.023593484598799234
397.01382123974855,251.5205445235419,-0.021456842756030988,0.11191057634951661,-0.024695298108332004,-0.019863132053815347
397.06584533422125,252.08057937234662,0.009943834978110168,0.10704451802476628,-0.024363836942395,-0.016294981452989805
397.6037235145333,252.67835966330804,0.10280951389084254,0.1142591452429112,-0.02093685314603358,-0.012486343278226097
398.21842355175687,253.17027953259839,0.11749316913909441,0.09402508688053451,-0.017020414174730433,-0.009352173715541614
398.43632610939113,253.60412796697625,0.041649683601130194,0.08292536911389904,-0.015632091388026095,-0.006587994745078312
398.8776830222881,253.9898240843736,0.08436053241828052,0.07372158193180377,-0.012820073640750076,-0.004130608680684853
400.00928894369093,254.5728318947801,0.21629405868057572,0.11143554763214537,-0.005610271684730886,-0.00041609042628000764
401.02304942684583,255.11697275976826,0.19376919586964778,0.10400655736790865,0.0008487015109240402,0.0030507948193169475
401.6537067545305,255.52141680395388,0.12054323016661554,0.07730504248126459,0.004866809183144558,0.005627629568692434
402.19744253936926,255.71687019448214,0.103929130740895,0.03735877156583731,0.008331113541174391,0.006872921954220344
402.3226190965514,255.73924123474043,0.02392612577621221,0.004275978945368399,0.009128651067048132,0.007015454585732624
402.32659836065574,255.51811475409835,0.0007605926828462931,-0.042265901119125635,0.009154004156476341,0.0056065912150951025
402.19273024300594,255.2356136410047,-0.02558742221718774,-0.0539969888608017,0.008301090082570083,0.0038066915864017124
402.0196190398499,254.9189134070237,-0.03308830753314201,-0.06053377566982263,0.007198146498132017,0.0017888990640742915
401.82291624251803,254.57469766684312,-0.0375975819709275,-0.0657930628474439,0.005944893765767767,-0.00040420303084050523
401.86294726546583,254.4586355856223,0.007651490914594674,-0.022183993677806598,0.006199943462920922,-0.0011436694867673917
401.7565210303228,254.43055102706228,-0.020342207400827043,-0.005368055294078538,0.005521869882893354,-0.0013226046632366763
401.5708219345882,254.5756400310318,-0.035494345116150385,0.02773217154925195,0.004338725045688342,-0.00039819894492827804
401.6881003965172,254.79344315905652,0.02241649150703775,0.041630678721962015,0.005085941429256267,0.000989490345803789
401.9315230706411,255.1826459779502,0.046527573924206284,0.07439184945592571,0.006636860560063143,0.0034692186610013128
401.9568468799804,255.6337705855911,0.0048403683646835735,0.08622752012146881,0.006798206172219262,0.0063434693317169395
