A1,A2,A3,A4,A5,A6,A7,A8,A9
8570,8535,5378,5779,17105,11157,13948,14314,28262
8871,8486,5199,5669,17357,10868,14070,14155,28225
8662,8508,5345,5682,17170,11027,14007,14190,28197
8566,8482,5486,5689,17048,11175,14052,14171,28223
8841,8196,5815,5402,17037,11217,14656,13598,28254
8907,8262,5639,5495,17169,11134,14546,13757,28303
8748,8407,5577,5582,17155,11159,14325,13989,28314
8625,8424,5635,5642,17049,11277,14260,14066,28326
8676,8443,5547,5615,17119,11162,14223,14058,28281
8608,8457,5674,5505,17065,11179,14282,13962,28244
8713,8280,5724,5452,16993,11176,14437,13732,28169
8679,8250,5766,5366,16929,11132,14445,13616,28061
8514,8308,5988,5169,16822,11157,14502,13477,27979
8764,8107,5798,5232,16871,11030,14562,13339,27901
8947,8201,5751,4924,17148,10675,14698,13125,27823
9116,8096,5723,4845,17212,10568,14839,12941,27780
9138,8009,5683,4913,17147,10596,14821,12922,27743
8672,7992,6094,4928,16664,11022,14766,12920,27686
8730,8027,6158,4742,16757,10900,14888,12769,27657
8726,7989,6246,4715,16715,10961,14972,12704,27676
8818,7948,6181,4759,16766,10940,14999,12707,27706
8849,7891,6057,4953,16740,11010,14906,12844,27750
8808,8144,5832,5002,16952,10834,14640,13146,27786
8669,8150,5780,5208,16819,10988,14449,13358,27807
8939,7791,5886,5187,16730,11073,14825,12978,27803
8906,7951,5916,5010,16857,10926,14822,12961,27783
8769,7930,6065,4960,16699,11025,14834,12890,27724
8893,7920,5721,5158,16813,10879,14614,13078,27692
8815,7917,5715,5174,16732,10889,14530,13091,27621
8666,8017,5644,5213,16683,10857,14310,13230,27540
8940,7844,5717,5002,16784,10719,14657,12846,27503
8810,7678,5876,5029,16488,10905,14686,12707,27393
8831,7767,5569,5200,16598,10769,14400,12967,27367
8858,7717,5670,5102,16575,10772,14528,12819,27347
8929,7684,5532,5187,16613,10719,14461,12871,27332
8753,7992,5460,5145,16745,10605,14213,13137,27350
8665,7841,5388,5444,16506,10832,14053,13285,27338
8454,7779,5571,5553,16233,11124,14025,13332,27357
8559,7947,5481,5440,16506,10921,14040,13387,27427
8672,7858,5386,5515,16530,10901,14058,13373,27431
8724,7943,5204,5581,16667,10785,13928,13524,27452
8647,7942,5263,5643,16589,10906,13910,13585,27495
8654,7958,5217,5665,16612,10882,13871,13623,27494
8745,7757,5256,5718,16502,10974,14001,13475,27476
8451,8130,5210,5739,16581,10949,13661,13869,27530
8929,7361,5409,5823,16290,11232,14338,13184,27522
8996,7171,5468,5864,16167,11332,14464,13035,27499
9077,7264,5366,5805,16341,11171,14443,13069,27512
8891,7241,5535,5851,16132,11386,14426,13092,27518
8904,7167,5569,5876,16071,11445,14473,13043,27516
9029,7384,5423,5663,16413,11086,14452,13047,27499
8854,7384,5482,5777,16238,11259,14336,13161,27497
8739,7972,5253,5553,16711,10806,13992,13525,27517
8714,8017,5252,5546,16731,10798,13966,13563,27529
8624,8052,5289,5617,16676,10906,13913,13669,27582
8652,7902,5338,5749,16554,11087,13990,13651,27641
8647,7990,5335,5648,16637,10983,13982,13638,27620
8958,7509,5434,5752,16467,11186,14392,13261,27653
8915,7310,5514,5929,16225,11443,14429,13239,27668
